ref_x,ref_y,ref_steering,lookahead,velocity
1.8,99.8,0.183301719273916,7.43377593016518,8.16698280726084
1.80010888281603,99.8000000005403,0.183304271381077,7.43374020066492,8.16695728618923
1.80065329689616,99.8000000194501,0.183317022148145,7.43356168992597,8.16682977851855
1.80337536729675,99.8000005189201,0.183380531811205,7.43267255464313,8.16619468188795
1.81698571924029,99.8000131042417,0.183691981635783,7.42831225709903,8.16308018364217
1.87355138841715,99.800242873443,0.184881155107711,7.41166382849205,8.15118844892289
1.94480468039719,99.8009277119153,0.186134829545193,7.3941123863673,8.13865170454807
2.02948177861596,99.8022898611478,0.187273458424434,7.37817158205792,8.12726541575566
2.12841648662357,99.8045959861882,0.188120318265065,7.36631554428909,8.11879681734935
2.2444908726069,99.8082220579582,0.1884475830182,7.3617338377452,8.115524169818
2.38421777335096,99.8138065511518,0.18789278087708,7.36950106772088,8.1210721912292
2.55759889650423,99.8224181813558,0.185803381836612,7.39875265428743,8.14196618163388
2.7819089296267,99.8359988209778,0.180915284601526,7.46718601557864,8.19084715398474
3.08674220206506,99.8581677056633,0.170644829106084,7.61097239251483,8.29355170893916
3.46797573629704,99.8906141165471,0.158099437051223,7.78660788128287,8.41900562948777
3.80658442385152,99.9226570831461,0.145090148993522,7.96873791409069,8.54909851006478
4.08050715657224,99.9501393375709,0.130928078576783,8.16700689992504,8.69071921423217
4.3471633465954,99.9778230015433,0.115206424845352,8.38711005216507,8.84793575154648
4.66444770568619,100.01154597808,0.105112581774959,8.52842385515057,8.94887418225041
5.0361978112572,100.051650169234,0.0998719762269792,8.60179233282229,9.00128023773021
5.40969915039156,100.09215375331,0.0855227006952667,8.80268219026627,9.14477299304733
5.70893732784579,100.124521448572,0.0657298709769729,9.07978180632238,9.34270129023027
5.95828771966065,100.151329162195,0.0488858804050998,9.3155976743286,9.511141195949
6.24491544302405,100.181888646101,0.025443043985334,9.64379738420532,9.74556956014666
6.61794045840448,100.221174995751,0.00145682199957161,9.979604492006,9.98543178000428
7.03596688451493,100.264495329207,-0.0022266107524922,9.96882744946511,9.97773389247508
7.10276992510156,100.271346179803,-0.00715160592328935,9.89987751707395,9.92848394076711
7.16957514314822,100.278174276801,-0.0118589335689384,9.83397493003486,9.88141066431062
7.36458910208963,100.297987130611,-0.0195707027534459,9.72601016145176,9.80429297246554
7.56977482202959,100.318663359372,-0.0300741741006494,9.57896156259091,9.69925825899351
7.83728545286752,100.345376107576,-0.0410313180013856,9.4255615479806,9.58968681998615
8.14980784614394,100.376251944885,-0.0541121666857923,9.24242966639891,9.45887833314208
8.53257370137115,100.413616439873,-0.0657149742949248,9.07999035987105,9.34285025705075
8.92236145482238,100.451203099524,-0.0739114167685734,8.96524016523997,9.26088583231427
9.24420206855151,100.481920605242,-0.0796517659616478,8.88487527653693,9.20348234038352
9.51372598370525,100.507444892841,-0.0844295188265519,8.81798673642827,9.15570481173448
9.79856611422252,100.534235765186,-0.0885042177045018,8.76094095213697,9.11495782295498
9.88387393497155,100.542201618649,-0.0909167473681182,8.72716553684634,9.09083252631882
9.9691870135102,100.550111269157,-0.091560995140203,8.71814606803716,9.08439004859797
10.1210565588831,100.564058929392,-0.0909033066790406,8.72735370649343,9.09096693320959
10.3062117279867,100.580803347916,-0.0891656869875123,8.75168038217483,9.10834313012488
10.4965229608277,100.597647370246,-0.0861425604552444,8.79400415362658,9.13857439544756
10.7640501541751,100.620584267661,-0.0817771477476158,8.85511993153338,9.18222852252384
11.1262949379136,100.650081278912,-0.0847618231465147,8.81333447594879,9.15238176853485
11.5605282797448,100.682893936197,-0.0834075159696258,8.83229477642524,9.16592484030374
11.6284717567747,100.687767157737,-0.0794167758985457,8.88816513742036,9.20583224101454
11.6964210711114,100.692561179324,-0.0770891577478351,8.92075179153031,9.22910842252165
11.8555882505809,100.703499708991,-0.0749430890818314,8.95079675285436,9.25056910918169
12.0275548865843,100.714898149893,-0.0713224263302547,9.00148603137643,9.28677573669745
